"","player_name","pos","fantasypros_id","sportradar_id","gsis_id"
"316","DaRick Rogers","WR","11612","1771b1d1-272b-496f-b34b-4f50dd99f831","00-0030043"
"317","Marquess Wilson","WR","11607","d8fe880c-a9d8-4041-ac0f-4626bb2a23dd","00-0030047"
"318","Aaron Mellette","WR","11621","d820c4d6-c312-4318-b528-65fe1b63dfaf","00-0029896"
"319","Corey Washington","WR","13255","ddc37660-baaa-458d-86d3-36fa251a407d","00-0030897"
"320","Josh Huff","WR","12132","96c345e6-a8c4-4823-a6d5-b88e2e0bbca9","00-0030990"
"321","Robert Herron","WR","12203","57bdde93-519a-4093-ab87-098d8da2c655","00-0031187"
"322","Devin Street","WR","12135","0774d0d6-3e8a-41fb-b087-90c21502d312","00-0031310"
"323","Jalen Saunders","WR","12131","138853f6-cf14-4dbc-8059-5d875a821dae","00-0031053"
"324","Duron Carter","WR","13997","2fb7db72-3527-4e1f-8048-f12798e1f5c4","00-0031486"
"325","Chris Harper","WR","14254","bbdb52d4-cbc6-473d-999c-fc7c518e55b1","00-0031854"
"326","Evan Spencer","WR","13994","2d60cffb-4b25-44c1-b430-9ea56c1a2cf3","00-0031954"
"327","Keith Mumphery","WR","14126","6058b133-b81e-4122-af63-de0a73773daf","00-0031600"
"328","Keith Marshall","RB","15836","1e513f93-11e3-4328-bfbe-df688fdfe184","00-0032806"
"329","Kelvin Taylor","RB","15892","528600bc-08d1-4078-a8b5-b59d57dfd4c7","00-0032440"
"330","Brandon Burks","RB","16206","49597ed9-e933-42aa-ac84-1b4cb8bfa7dc","00-0032844"
"331","Joe Williams","RB","16451","bfadb11e-2e89-48f6-a7b2-896be3106dc8","00-0033286"
"332","Akrum Wadley","RB","17252","ac6aeee0-d291-481a-a914-947061b639b2","00-0034670"
"333","Alex Barnes","RB","18626","e63d39ab-704f-40ad-9036-b8bad7ece8bb","00-0035512"
"334","Temuchin Hodges","TE","16412","aad59ab5-1450-465d-96a6-fb10a9fca368","00-0033966"
"335","CJ Conrad","TE","18386","16551ae2-a27c-4c2d-aa48-0fce4fde68a8","00-0035009"
"336","Malcolm Mitchell","WR","15656","c3ed9a9b-3e7d-4533-8224-a0b89adcd9da","00-0032400"
"337","Paul Turner","WR","16135","c92f0c72-f333-4c52-ba7d-4797cbf43078","00-0032841"
"338","Jordan Payton","WR","15710","19fff21f-43ba-49b1-8a7c-d05389a1f789","00-0032974"
"339","Carlos Henderson","WR","16429","7f42a2c7-0728-49f7-b8e2-d08b1a49b886","00-0033919"
"340","Jazz Ferguson","WR","18657","1c4e12ff-afad-4628-a4f2-d47dc3f4a9dc","00-0035090"
"341","Dillon Mitchell","WR","18623","ab04bbda-ee5d-45f8-851a-6fe36ad0c21a","00-0035002"
"342","Marcus Green","WR","18715","3ca39a84-5ba9-445d-bf6e-895be06edb34","00-0035296"
"343","John Hurst","WR","19939","e4edfc2e-c6f7-42fc-b8b1-8e5282457000","00-0036104"
"344","Trevone Boykin","QB","15915","648a6a76-32c3-45fa-b158-f77de2a9a95f","00-0032462"
"345","Christian Hackenberg","QB","15601","8f924766-111c-4cf2-a13b-2221e1013909","00-0032953"
"346","Cardale Jones","QB","15606","92c02ef1-8400-4f5a-9420-6458755e14d4","00-0033098"
"347","Joel Stave","QB","15856","96d97bdd-7458-440f-97c5-c8163c256306","00-0032614"
"348","Connor Cook","QB","15517","f1ec6243-aaca-4237-85fb-9699bc90aa09","00-0032893"
